zone,model,fold_id,train_start,train_end,test_start,test_end,mae,rmse,mape,directional_accuracy
DK2,ridge,21.0,2022-02-01 00:00:00,2024-05-10 00:00:00,2024-05-10 01:00:00,2024-05-17 00:00:00,50.54240897125692,57.772299577091374,7130.177036398381,74.8502994011976
DK2,ridge,22.0,2022-02-01 00:00:00,2024-05-17 00:00:00,2024-05-17 01:00:00,2024-05-24 00:00:00,44.86696765462703,53.08992336638186,4483.359692821324,78.44311377245509
DK2,ridge,23.0,2022-02-01 00:00:00,2024-05-24 00:00:00,2024-05-24 01:00:00,2024-05-31 00:00:00,25.70201009549265,32.04951772041461,1270.2762612303084,76.04790419161677
DK2,ridge,24.0,2022-02-01 00:00:00,2024-05-31 00:00:00,2024-05-31 01:00:00,2024-06-01 00:00:00,25.70692653413833,34.202650163810695,447.9550331045268,82.6086956521739
DK2,ridge,25.0,2022-02-01 00:00:00,2024-06-01 00:00:00,2024-09-01 00:00:00,2024-09-06 00:00:00,51.158269475907524,64.2632579332156,25524.52647916025,80.83333333333333
DK2,ridge,26.0,2022-02-01 00:00:00,2024-09-06 00:00:00,2024-09-06 01:00:00,2024-09-13 00:00:00,49.271756820262745,64.50404823259777,8293.537590639993,77.84431137724552
DK2,ridge,27.0,2022-02-01 00:00:00,2024-09-13 00:00:00,2024-09-13 01:00:00,2024-09-20 00:00:00,46.14695499352074,53.01166152496862,427.73422351071605,81.437125748503
DK2,ridge,28.0,2022-02-01 00:00:00,2024-09-20 00:00:00,2024-09-20 01:00:00,2024-09-27 00:00:00,52.289120775541875,63.83403090328749,5787.732988542333,83.8323353293413
DK2,ridge,29.0,2022-02-01 00:00:00,2024-09-27 00:00:00,2024-09-27 01:00:00,2024-10-04 00:00:00,41.3606607395885,54.27065372192126,9419.140158353626,79.04191616766467
DK2,ridge,30.0,2022-02-01 00:00:00,2024-10-04 00:00:00,2024-10-04 01:00:00,2024-10-11 00:00:00,35.701924784300594,44.3232598537939,171.00593769444689,81.437125748503
DK2,ridge,31.0,2022-02-01 00:00:00,2024-10-11 00:00:00,2024-10-11 01:00:00,2024-10-18 00:00:00,60.27020731108545,73.23450942401847,10592.52371996952,72.45508982035929
DK2,ridge,32.0,2022-02-01 00:00:00,2024-10-18 00:00:00,2024-10-18 01:00:00,2024-10-25 00:00:00,30.74265704405093,39.70063748408734,3698.1082267531383,79.64071856287424
DK2,ridge,33.0,2022-02-01 00:00:00,2024-10-25 00:00:00,2024-10-25 01:00:00,2024-10-31 00:00:00,36.79395973918563,53.74094589105645,180.13677681353977,83.21678321678321
